Date,Open,High,Low,Close
1988-12-30,277.72,279.78,277.72,277.72
1988-12-29,279.4,279.42,277.08,279.4
1988-12-28,277.08,277.55,276.17,277.08
1988-12-27,276.83,278.09,276.74,276.83
1988-12-23,277.87,277.99,276.87,277.87
1988-12-22,276.87,277.89,276.86,276.87
1988-12-21,277.38,277.83,276.3,277.38
1988-12-20,277.47,280.45,277.47,277.47
1988-12-19,278.91,279.31,275.61,278.91
1988-12-16,276.29,276.29,274.28,276.29
1988-12-15,274.28,275.62,274.01,274.28
1988-12-14,275.31,276.31,274.58,275.31
1988-12-13,276.31,276.52,274.58,276.31
1988-12-12,276.52,278.82,276.52,276.52
1988-12-09,277.03,277.82,276.34,277.03
1988-12-08,276.57,278.13,276.55,276.57
1988-12-07,278.13,279.01,277.34,278.13
1988-12-06,277.59,277.89,274.62,277.59
1988-12-05,274.93,275.62,271.81,274.93
1988-12-02,271.81,272.49,270.47,271.81
1988-12-01,272.49,273.7,272.27,272.49
1988-11-30,273.7,274.36,270.9,273.7
1988-11-29,270.91,271.31,268.13,270.91
1988-11-28,268.64,268.98,266.97,268.64
1988-11-25,267.23,269.0,266.47,267.23
1988-11-23,269.0,269.56,267.21,269.0
1988-11-22,267.21,267.85,265.42,267.21
1988-11-21,266.22,266.47,263.41,266.22
1988-11-18,266.47,266.62,264.6,266.47
1988-11-17,264.6,265.63,263.45,264.6
1988-11-16,263.82,268.41,262.85,263.82
1988-11-15,268.34,268.75,267.72,268.34
1988-11-14,267.72,269.25,266.79,267.72
1988-11-11,267.92,273.69,267.92,267.92
1988-11-10,273.69,274.37,272.98,273.69
1988-11-09,273.33,275.15,272.15,273.33
1988-11-08,275.15,275.8,273.93,275.15
1988-11-07,273.93,276.31,273.62,273.93
1988-11-04,276.31,279.2,276.31,276.31
1988-11-03,279.2,280.37,279.04,279.2
1988-11-02,279.06,279.45,277.08,279.06
1988-11-01,279.06,279.57,278.01,279.06
1988-10-31,278.97,279.39,277.14,278.97
1988-10-28,278.53,279.48,277.28,278.53
1988-10-27,277.28,281.38,276.0,277.28
1988-10-26,281.38,282.52,280.54,281.38
1988-10-25,282.38,282.84,281.87,282.38
1988-10-24,282.28,283.95,282.28,282.28
1988-10-21,283.66,283.66,281.16,283.66
1988-10-20,282.88,282.88,276.93,282.88
1988-10-19,276.97,280.53,274.41,276.97
1988-10-18,279.38,279.39,276.41,279.38
1988-10-17,276.41,276.65,275.01,276.41
1988-10-14,275.5,277.01,274.08,275.5
1988-10-13,275.22,275.83,273.39,275.22
1988-10-12,273.98,277.93,273.05,273.98
1988-10-11,277.93,278.24,276.33,277.93
1988-10-10,278.24,278.69,277.1,278.24
1988-10-07,278.07,278.07,272.37,278.07
1988-10-06,272.39,272.39,271.3,272.39
1988-10-05,271.86,272.45,270.08,271.86
1988-10-04,270.62,271.79,270.34,270.62
1988-10-03,271.38,271.91,268.84,271.38
1988-09-30,271.91,274.87,271.66,271.91
1988-09-29,272.59,273.02,269.08,272.59
1988-09-28,269.08,269.08,267.77,269.08
1988-09-27,268.26,269.36,268.01,268.26
1988-09-26,268.88,269.8,268.61,268.88
1988-09-23,269.76,270.31,268.28,269.76
1988-09-22,269.18,270.58,268.26,269.18
1988-09-21,270.16,270.64,269.48,270.16
1988-09-20,269.73,270.07,268.5,269.73
1988-09-19,268.82,270.65,267.41,268.82
1988-09-16,270.65,270.81,267.33,270.65
1988-09-15,268.13,269.78,268.03,268.13
1988-09-14,269.31,269.47,267.41,269.31
1988-09-13,267.43,267.43,265.22,267.43
1988-09-12,266.47,267.64,266.22,266.47
1988-09-09,266.84,268.26,263.66,266.84
1988-09-08,265.88,266.54,264.88,265.88
1988-09-07,265.87,266.98,264.93,265.87
1988-09-06,265.59,265.94,264.4,265.59
1988-09-02,264.48,264.9,258.35,264.48
1988-09-01,258.35,261.52,256.98,258.35
1988-08-31,261.52,263.8,261.21,261.52
1988-08-30,262.51,263.18,261.53,262.51
1988-08-29,262.33,262.56,259.68,262.33
1988-08-26,259.68,260.15,258.87,259.68
1988-08-25,259.18,261.13,257.56,259.18
1988-08-24,261.13,261.13,257.09,261.13
1988-08-23,257.09,257.86,256.53,257.09
1988-08-22,256.98,260.71,256.94,256.98
1988-08-19,260.24,262.27,260.23,260.24
1988-08-18,261.03,262.76,260.75,261.03
1988-08-17,260.77,261.84,259.33,260.77
1988-08-16,260.56,262.61,257.5,260.56
1988-08-15,258.69,262.55,258.68,258.69
1988-08-12,262.55,262.94,261.37,262.55
1988-08-11,262.75,262.77,260.34,262.75
1988-08-10,261.9,266.49,261.03,261.9
1988-08-09,266.49,270.2,265.06,266.49
1988-08-08,269.98,272.47,269.93,269.98
1988-08-05,271.15,271.93,270.08,271.15
1988-08-04,271.93,274.2,271.77,271.93
1988-08-03,272.98,273.42,271.15,272.98
1988-08-02,272.06,273.68,270.37,272.06
1988-08-01,272.21,272.8,271.21,272.21
1988-07-29,272.02,272.02,266.02,272.02
1988-07-28,266.02,266.55,262.5,266.02
1988-07-27,262.5,265.83,262.48,262.5
1988-07-26,265.19,266.09,264.32,265.19
1988-07-25,264.68,265.17,263.03,264.68
1988-07-22,263.5,266.66,263.29,263.5
1988-07-21,266.66,270.0,266.66,266.66
1988-07-20,270.0,270.24,268.47,270.0
1988-07-19,268.47,271.21,267.01,268.47
1988-07-18,270.51,272.05,268.66,270.51
1988-07-15,272.05,272.06,269.53,272.05
1988-07-14,270.26,270.69,268.58,270.26
1988-07-13,269.32,269.46,266.12,269.32
1988-07-12,267.85,270.7,266.96,267.85
1988-07-11,270.55,271.64,270.02,270.55
1988-07-08,270.02,272.31,269.86,270.02
1988-07-07,271.78,272.05,269.31,271.78
1988-07-06,272.02,276.36,269.92,272.02
1988-07-05,275.81,275.81,270.51,275.81
1988-07-01,271.78,273.8,270.78,271.78
1988-06-30,273.5,273.51,270.97,273.5
1988-06-29,270.98,273.01,269.49,270.98
1988-06-28,272.31,272.8,269.06,272.31
1988-06-27,269.06,273.79,268.85,269.06
1988-06-24,273.78,275.19,273.53,273.78
1988-06-23,274.82,275.89,274.26,274.82
1988-06-22,275.66,276.88,271.67,275.66
1988-06-21,271.67,271.67,267.52,271.67
1988-06-20,268.94,270.68,268.59,268.94
1988-06-17,270.68,270.77,268.09,270.68
1988-06-16,269.77,274.45,268.76,269.77
1988-06-15,274.45,274.45,272.75,274.45
1988-06-14,274.3,276.14,271.44,274.3
1988-06-13,271.43,271.94,270.53,271.43
1988-06-10,271.26,273.21,270.2,271.26
1988-06-09,270.2,272.1,270.21,270.2
1988-06-08,271.52,272.01,265.17,271.52
1988-06-07,265.17,267.28,264.5,265.17
1988-06-06,267.05,267.05,264.97,267.05
1988-06-03,266.45,267.11,264.42,266.45
1988-06-02,265.33,266.71,264.12,265.33
1988-06-01,266.69,267.43,262.1,266.69
1988-05-31,262.16,262.16,253.42,262.16
1988-05-27,253.42,254.63,252.74,253.42
1988-05-26,254.63,254.98,253.52,254.63
1988-05-25,253.76,255.34,253.51,253.76
1988-05-24,253.51,253.51,250.83,253.51
1988-05-23,250.83,253.02,249.82,250.83
1988-05-20,253.02,253.7,251.79,253.02
1988-05-19,252.57,252.57,248.85,252.57
1988-05-18,251.35,255.67,250.73,251.35
1988-05-17,255.39,260.2,255.35,255.39
1988-05-16,258.71,258.71,256.28,258.71
1988-05-13,256.78,256.83,253.85,256.78
1988-05-12,253.85,254.87,253.31,253.85
1988-05-11,253.31,257.62,252.32,253.31
1988-05-10,257.62,258.3,255.93,257.62
1988-05-09,256.54,258.22,255.45,256.54
1988-05-06,257.48,260.31,257.03,257.48
1988-05-05,258.79,260.32,258.13,258.79
1988-05-04,260.32,263.23,260.31,260.32
1988-05-03,263.0,263.7,261.55,263.0
1988-05-02,261.56,261.56,259.99,261.56
1988-04-29,261.33,262.61,259.97,261.33
1988-04-28,262.61,263.8,262.22,262.61
1988-04-27,263.8,265.09,263.45,263.8
1988-04-26,263.93,265.06,262.18,263.93
1988-04-25,262.46,263.29,260.14,262.46
1988-04-22,260.14,261.16,256.42,260.14
1988-04-21,256.42,260.44,254.71,256.42
1988-04-20,256.13,258.54,256.12,256.13
1988-04-19,257.92,262.38,257.91,257.92
1988-04-18,259.21,259.81,258.03,259.21
1988-04-15,259.77,260.39,255.97,259.77
1988-04-14,259.75,271.57,259.37,259.75
1988-04-13,271.55,271.7,269.23,271.55
1988-04-12,271.37,272.05,269.66,271.37
1988-04-11,270.16,270.41,268.61,270.16
1988-04-08,269.43,270.22,266.11,269.43
1988-04-07,266.16,267.32,265.22,266.16
1988-04-06,265.49,265.5,258.22,265.49
1988-04-05,258.51,258.52,256.03,258.51
1988-04-04,256.09,258.86,256.09,256.09
1988-03-31,258.89,259.03,256.16,258.89
1988-03-30,258.07,261.59,257.92,258.07
1988-03-29,260.07,260.86,258.06,260.07
1988-03-28,258.06,258.51,256.07,258.06
1988-03-25,258.51,263.44,258.12,258.51
1988-03-24,263.35,268.91,262.48,263.35
1988-03-23,268.91,269.79,268.01,268.91
1988-03-22,268.84,269.61,267.9,268.84
1988-03-21,268.74,271.12,267.42,268.74
1988-03-18,271.12,272.64,269.76,271.12
1988-03-17,271.22,271.22,268.65,271.22
1988-03-16,268.65,268.68,264.81,268.65
1988-03-15,266.13,266.41,264.92,266.13
1988-03-14,266.37,266.55,264.52,266.37
1988-03-11,264.94,264.94,261.27,264.94
1988-03-10,263.84,269.35,263.8,263.84
1988-03-09,269.06,270.76,268.65,269.06
1988-03-08,269.43,270.06,267.38,269.43
1988-03-07,267.38,267.69,265.94,267.38
1988-03-04,267.3,268.4,264.72,267.3
1988-03-03,267.88,268.4,266.82,267.88
1988-03-02,267.98,268.75,267.0,267.98
1988-03-01,267.22,267.95,265.39,267.22
1988-02-29,267.82,267.82,262.46,267.82
1988-02-26,262.46,263.0,261.38,262.46
1988-02-25,261.58,267.75,261.05,261.58
1988-02-24,264.43,266.25,263.87,264.43
1988-02-23,265.02,266.12,263.11,265.02
1988-02-22,265.64,266.06,260.88,265.64
1988-02-19,261.61,261.61,257.62,261.61
1988-02-18,257.91,259.6,256.9,257.91
1988-02-17,259.21,261.47,257.83,259.21
1988-02-16,259.83,259.84,256.57,259.83
1988-02-12,257.63,258.86,255.85,257.63
1988-02-11,255.95,257.77,255.12,255.95
1988-02-10,256.66,256.92,251.72,256.66
1988-02-09,251.72,251.72,248.66,251.72
1988-02-08,249.1,250.96,247.82,249.1
